0.0 133632
0.1 155904
0.2 87352
0.3 5680
0.4 1704
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1.0 0
1.1 0
1.2 0
1.3 0
1.4 0
1.5 0
1.6 0
1.7 4680
1.8 16296
1.9 111112
2.0 1694304
2.1 24656
2.2 37776
2.3 0
2.4 0
2.5 0
2.6 63072
2.7 29552
2.8 6944
2.9 310360
3.0 1312
3.1 176288
3.2 7672
3.3 181192
3.4 13008
3.5 3664
3.6 177600
3.7 8336
3.8 92288
3.9 100320
4.0 5712
4.1 3680
4.2 0
4.3 0
4.4 0
4.5 0
4.6 199712
4.7 0
4.8 0
4.9 0
5.0 336
5.1 0
5.2 5616
5.3 194256
5.4 222816
5.5 585984
5.6 872672
5.7 13120
5.8 88832
5.9 0
6.0 23424
6.1 102752
6.2 0
6.3 0
6.4 9952
6.5 172928
6.6 401952
6.7 91072
6.8 3456
6.9 2208
7.0 186880
7.1 5712
7.2 28480
7.3 2304
