0.0 1992816
0.1 16296
0.2 0
0.3 0
0.4 0
0.5 0
0.6 21120
0.7 182032
0.8 218512
0.9 1056
1.0 2304
1.1 191048
1.2 392104
1.3 0
1.4 0
1.5 0
1.6 0
1.7 0
1.8 9072
1.9 188352
2.0 301824
2.1 58272
2.2 0
2.3 0
2.4 0
2.5 0
2.6 64896
2.7 211456
2.8 610144
2.9 92320
3.0 1056
3.1 193616
3.2 265584
3.3 3992
3.4 0
3.5 2456
3.6 0
3.7 0
3.8 0
3.9 200048
4.0 1040
4.1 0
4.2 992
4.3 0
4.4 0
4.5 0
4.6 0
4.7 0
4.8 5616
4.9 336
5.0 14552
5.1 396632
5.2 617952
5.3 563648
5.4 98208
5.5 5712
5.6 261760
5.7 2328
5.8 9440
5.9 12672
6.0 5888
6.1 0
6.2 6528
6.3 0
6.4 0
6.5 0
6.6 201152
6.7 1161312
6.8 11424
6.9 6864
7.0 1152
7.1 96736
7.2 0
7.3 4608
