0.0 14304
0.1 0
0.2 19280
0.3 0
0.4 0
0.5 176288
0.6 5744
0.7 596992
0.8 418160
0.9 388224
1.0 397888
1.1 99776
1.2 0
1.3 580496
1.4 7040
1.5 0
1.6 2304
1.7 1568
1.8 8616
1.9 0
2.0 180656
2.1 36720
2.2 0
2.3 0
2.4 0
2.5 0
2.6 62352
2.7 1056
2.8 0
2.9 254608
3.0 378224
3.1 891088
3.2 185664
3.3 0
3.4 0
3.5 0
3.6 0
3.7 200176
3.8 0
3.9 0
4.0 0
4.1 0
4.2 0
4.3 0
4.4 0
4.5 5888
4.6 24280
4.7 763528
4.8 268048
4.9 687168
5.0 5416
5.1 1152
5.2 4608
5.3 94848
5.4 179864
5.5 92240
5.6 17728
5.7 89984
5.8 187888
5.9 91456
6.0 1152
6.1 4608
6.2 16576
6.3 266208
6.4 5872
6.5 98208
6.6 12576
6.7 92560
6.8 10224
6.9 112968
7.0 20952
7.1 24128
7.2 13312
7.3 16472
7.4 16432
7.5 0
7.6 0
7.7 35456
7.8 90904
7.9 212096
8.0 101688
8.1 300632
8.2 2256
8.3 185856
8.4 8096
8.5 0
8.6 185824
8.7 93304
8.8 0
8.9 0
9.0 189088
9.1 1056
9.2 181312
9.3 10472
9.4 192952
9.5 11984
